"","ecatalogue_key","irn","RegRegistrationNumber","Class","Order","Family","binomial","ScientificName","TypeStatus","Country","Locality","Extent_km","Certainty_Percent","Type","Notes","geometry"
"65",15160,1925521,"1947.2.12.86-91","Amphibia","Anura","Hylidae","Dendropsophus_limai","Hyla minuta","Types","Brazil","Lages, Santa Catarina",8.48,100,"2.3","Formerly Lajens, a small town within the state of Santa Catarina. Centroid taken from google maps default, extent measured to furthest point of the google maps polygon. High certainty as both state and place name line up, and extent over compensates in several directions. ",c(-50.325704, -27.816393)
"66",23585,1925522,"1888.2.7.26-31","Amphibia","Anura","Hylidae","Dendropsophus_limai","Hyla minuta","Types","Brazil","Lages, Santa Catarina",8.48,100,"2.3","Formerly Lajens, a small town within the state of Santa Catarina. Centroid taken from google maps default, extent measured to furthest point of the google maps polygon. High certainty as both state and place name line up, and extent over compensates in several directions. ",c(-50.325704, -27.816393)
"67",49554,1926378,"1894.5.23.14-15","Amphibia","Anura","Hylidae","Fritziana_goeldii","Fritziana goeldii","Types","Brazil","Col�nia Alpina, Teresopolis",1.95,75,"2.3","Colonial era town. Centroid taken from google maps standard (whats here pin dropped on name to provide coordinates). Extent measurement was difficult, as continuous housing linked up with other districts and towns, however extent was measured so that the midpoint between unbroken housing linking two districts was reached, and the furthest from the centroid was taken to be to largest possible extent. Uncertainty due to uncertainty in extent measurements. ",c(-42.956868, -22.370947)
"68",54864,1926735,"1856.3.25.14","Amphibia","Anura","Hylidae","Trachycephalus_typhonius","Phrynohyas zonata","Types","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"69",57297,1924984,"1888.11.30.7-8","Amphibia","Anura","Hylidae","Boana_bischoffi","Hyla bischoffi","Types","Brazil","Mundo Novo, Rio Grande do Sul",1.1,100,"2.2","Dstrict of Taquara. Centroid taken from google maps automatic placement, extent measured from there to the furthest point of the google maps extent polygone. High certainty as extent overestimates slightly and there were no naming conflicts.",c(-50.763048, -29.657609)
"70",5063,1949778,"1961.1676","Amphibia","Anura","Leptodactylidae","Thoropa_lutzi","Thoropa lutzi Cochran, 1938","Paratype","Brazil","Tijuca, R. de Janeiro",3.41,100,"2.2","Nieghbourhood in the Northern zone of Rio de Janeiro city. Centroid taken from google maps autoplacment, extnet measured to the furthest point of the google maps extent polygon. High certainty as no naming conflicts and extent overestimates polygon in several areas. ",c(-43.240949, -22.933009)
"71",59960,3633844,"1961.1676","Amphibia","Anura","Leptodactylidae","Thoropa_lutzi","Thoropa lutzi Cochran, 1938","paratype","Brazil","Tijuca",3.41,100,"2.2","Nieghbourhood in the Northern zone of Rio de Janeiro city. Centroid taken from google maps autoplacment, extnet measured to the furthest point of the google maps extent polygon. High certainty as no naming conflicts and extent overestimates polygon in several areas. ",c(-43.240949, -22.933009)
"72",16133,1947791,"1964.2009","Amphibia","Anura","Leptodactylidae","Ischnocnema_octavioi","Eleutherodactylus octavioi","Paratype","Brazil","Tijuca, Rio de Janeiro, Guanabara",3.41,75,"2.2","Nieghbourhood in the Northern zone of Rio de Janeiro city. Centroid taken from google maps autoplacment, extnet measured to the furthest point of the google maps extent polygon. High certainty as no naming conflicts and extent overestimates polygon in several areas. Lower certainty as cannot locate Guanabara (presume it is a district).",c(-43.240949, -22.933009)
"73",41626,1948470,"1876.5.26.4-5","Amphibia","Anura","Leptodactylidae","Leptodactylus_longirostris","Leptodactylus longirostris","Syntypes","Brazil","Santarem",12.41,100,"2.3","Town on the banks of the Amazon in Brazil. Centroid taken from google maps, extent measured as distance from centroid to furthest extent of polygon provided by google maps. High certainty as this overestimates size of Santarem. ",c(-54.701789, -2.451857)
"74",8744,1948805,"1947.2.17.52","Amphibia","Anura","Leptodactylidae","Leptodactylus_latinasus","Leptodactylus prognathus","Type","Brazil","Rio Grande do Sul",608.88,100,"2.2","Southern most state of Brazil. Centroid found from googling locality description plus ‘Brazil, centroid’, border polygon found by removing ‘centroid’ from search terms. Extent measrued from centroid to furthest edge of polygon. High certainty as no naming conflicts appeared in the search and as this is the broad scale extent will be an overestimate. ",c(-51.217564, -30.053584)
"75",46494,1947212,"1845.5.25.8","Amphibia","Anura","Leptodactylidae","Crossodactylus_gaudichaudi","Crossodactylus gaudichaudi","Type","Brazil","Rio de Janeiro",292.89,100,"2.2","Both the state and the city have the same name, so cannot localise beyond state level. Centroid taken from google maps, extent measured to furthest point on google maps polygon. High certainty as state includes all of the city of the same name, and extent will overcompensate is most directions. ",c(-43.235426, -22.881962)
"76",52906,1947233,"1947.2.15.47","Amphibia","Anura","Leptodactylidae","Cycloramphus_duseni","Cyclorhamphus duseni","Type","Brazil","Parana",397.28,75,"2.2","Parana is a state in Southern Brazil. Found by putting the locality description followed by ‘Brazil’ into the google maps. Centroid obtained by adding ‘centroid’ to the search term. Extent measured from there to the furthest point on the google maps supplied border polygon. 75 certainty as some there were some name conflicts, however these tended to be in a different country (Argentina). ",c(-52.023057, -25.181692)
"77",57299,1949200,"1947.2.18.17","Amphibia","Anura","Leptodactylidae","Physalaemus_bischoffii","Physalaemus bischoffii","Type","Brazil","Mundo Novo, Rio Grande do Sul",1.05,100,"2.3","district of Taquara. Centroid taken from google maps standard (whats here pin dropped on name of place), extent measured to the furthest point of the google maps area polygon. No naming conflicts and extent is a slight overestimation of area so high certainty. ",c(-50.7629, -29.657136)
"78",50252,1947799,"1947.2.17.35","Amphibia","Anura","Leptodactylidae","Ischnocnema_parva","Eleutherodactylus parvus (Girard, 1853)","Types","Brazil","Teresopolis",40.13,50,"2.2","There are two Teresopolis in Brazil, sadly quite far apart. One is the Municipality located in the state or Rio de Janeiro, the other is a district of Porto Alegre, in the state of Rio grande do sul. I think it is more likely to be the municipality based on flora cover and species range (http://amphibiaweb.org:8000/cgi/amphib_query?where-genus=Dendropsophus&where-species=microps), so the coordinates are for there. Google maps searched locality description followed by 'Brazil'. Centroid is taken from google maps default (what's here pin dropped on locality name), extent measured from there to the furthest edge of area polygon provided by google maps using the measure distance tool. Low certainty as it is possible that this specimen was collected from the other Teresopolis. ",c(-42.975393, -22.417932)
"79",2391,1949330,"1947.2.20.31-32","Amphibia","Anura","Leptodactylidae","Physalaemus_nanus","Physalaemus nanus","Types","Brazil","Lages, Sta. Catarina",8.48,100,"2.3","Formerly Lajens, a small town within the state of Santa Catarina. Centroid taken from google maps default, extent measured to furthest point of the google maps polygon. High certainty as both state and place name line up, and extent over compensates in several directions. ",c(-50.325704, -27.816393)
"80",24146,1947237,"1905.7.24.13-16","Amphibia","Anura","Leptodactylidae","Cycloramphus_asper","Cyclorhamphus neglectus","Types","Brazil","Teresopolis, Sta. Catarina",40.13,50,"2.2","There are two Teresopolis in Brazil, sadly quite far apart. One is the Municipality located in the state or Rio de Janeiro, the other is a district of Porto Alegre, in the state of Rio grande do sul. I think it is more likely to be the municipality based on flora cover and species range (http://amphibiaweb.org:8000/cgi/amphib_query?where-genus=Dendropsophus&where-species=microps), so the coordinates are for there. Google maps searched locality description followed by 'Brazil'. Centroid is taken from google maps default (what's here pin dropped on locality name), extent measured from there to the furthest edge of area polygon provided by google maps using the measure distance tool. Low certainty as it is possible that this specimen was collected from the other Teresopolis. ",c(-42.975393, -22.417932)
"81",54140,1949308,"1947.2.18.18-27","Amphibia","Anura","Leptodactylidae","Physalaemus_gracilis","Physalaemus gracilis","Types","Brazil","Rio Grande do Sul",608.88,100,"2.2","Southern most state of Brazil. Centroid found from googling locality description plus ‘Brazil, centroid’, border polygon found by removing ‘centroid’ from search terms. Extent measrued from centroid to furthest edge of polygon. High certainty as no naming conflicts appeared in the search and as this is the broad scale extent will be an overestimate. ",c(-51.217564, -30.053584)
"82",50411,1927296,"1939.1.1.65","Amphibia","Anura","Centrolenidae","Hyalinobatrachium_taylori","Centrolenella taylori","Holotype","British Guiana","New River",42.34,25,"2.5","Copied from Naomi. New River, Guyana. Used Google Maps for river and protocol to measure geographic center; extent measured equal to half the length of river.",c(-57.598593, 3.238909)
"83",50412,1927297,"1939.1.1.64","Amphibia","Anura","Centrolenidae","Hyalinobatrachium_taylori","Centrolenella taylori","Paratype","British Guiana","New River",42.34,25,"2.5","Copied from Naomi. New River, Guyana. Used Google Maps for river and protocol to measure geographic center; extent measured equal to half the length of river.",c(-57.598593, 3.238909)
"84",31997,1880315,"1947.2.21.96","Amphibia","Anura","Bufonidae","Nannophryne_apolobambica","Bufo variegatus","Syntypes","Chile","Eden Harbour",3.82,50,"2.3","google maps searched locality descriptor followed by ‘chile’ to get centroid (google maps default, whats here pin drop). Extent measurement was tricky, as satellite images were of poor quality and showed no habitation at the provided pin drop (however google describes a hamlet in this natural bay). Extent was measured to encompass the furthest edges of the natural bay that best matches photos from the hamlet, as well as to the outer edge of the nearest habitation (which is likley to be the hamlet). Low certainty as I cannot be sure I got the entire hamlet, however I think my best guess in this case probably did. ",c(-74.452947, -49.138973)
"85",44179,1880312,"1869.5.3.50-51","Amphibia","Anura","Bufonidae","Nannophryne_apolobambica","Bufo variegatus","Syntypes","Chile","Puerto Bueno",0.88,75,"2.7","Locality description googled to get centroid (standard google maps, from whats here pin drop). Extent measured to furthest point of the bay (Puerto Bueno is a natural harbour), including the seaward edges of the bay entrance. Certainty reduced as range (based on https://amphibiaweb.org/cgi/amphib_query?where-genus=Batrachyla&where-species=leptopus berkelymapper) does not line up with locality. ",c(-74.214505, -50.992412)
"86",44180,1880314,"1869.5.3.59","Amphibia","Anura","Bufonidae","Nannophryne_apolobambica","Bufo variegatus","Syntypes","Chile","Puerto Grappler",1.52,75,"2.7","Locality description followed by ‘Chile’ google map searched, centroid taken from whats here pin placement. Extent measured to furthest edges of bay (Puerto Grappler is a natural port), furthest edge includes the seaward edge of the bay entrance. Reduced certainty as this isn’t much of a named place (no habitation in evidence), and satellite images are of low quality. ",c(-74.296859, -49.422993)
"87",35729,3633736,"1962.629","Amphibia","Anura","Leptodactylidae","Chaltenobatrachus_grandisonae","Atelognathus grandisonae (Lynch, 1975)","holotype","Chile","Plateau below south peak, Puerto Eden, Wellington Island",3.82,25,"2.2","Centroid taken from Puerto Eden, South Peak is not described anywhere in searches, so taking a best guess that south peak is the peak to the SW of the visible habitation that is likely to be puerto eden hamlet. There is a reasonable amount of flat ground that could be described as a plateau around this peak. Extent was measured from the centroid provided by google maps to the furthest habitation present in puerto eden (likely to be the edge of the hamlet), this radius comfortable covers any area of plateau below the mountain peak which is probably south peak. Low certainty as there are many mountain peaks with no names provided, so south peak could be further to the south still. ",c(-74.452947, -49.138973)
"88",35732,1949747,"1962.629","Amphibia","Anura","Leptodactylidae","Chaltenobatrachus_grandisonae","Telmatobius grandisonae (Lynch, 1975)","Holotype","Chile","Plateau below south peak, Puerto Eden, Wellington Island",3.82,25,"2.2","Centroid taken from Puerto Eden, South Peak is not described anywhere in searches, so taking a best guess that south peak is the peak to the SW of the visible habitation that is likely to be puerto eden hamlet. There is a reasonable amount of flat ground that could be described as a plateau around this peak. Extent was measured from the centroid provided by google maps to the furthest habitation present in puerto eden (likely to be the edge of the hamlet), this radius comfortable covers any area of plateau below the mountain peak which is probably south peak. Low certainty as there are many mountain peaks with no names provided, so south peak could be further to the south still. ",c(-74.452947, -49.138973)
"89",44375,3633534,"1947.2.19.93","Amphibia","Anura","Leptodactylidae","Hylorina_sylvatica","Hylorhina sylvatica Bell, 1843","holotype","Chile","Chiloe",96.72,75,"2.4","Island off the coast of Chile, found by google maps searching locality description followed by 'Chile'. Google maps area polygons suggest that some smaller islands nearby are also part of this locality. However only one of these falls outside of the extent found by measuring the island that bears the name 'Chiloe' (centroid from 'whats here' placed on island name (i.e. google default centroid), extent measured from there to furtherst point of the polygon of the name bearing island). Due to the remotness of the only outside island I have excluded it as an unlikely collection locality. Certainty lowered due to island outside of polygon. ",c(-73.93713, -42.609558)
"90",35730,1949748,"1962.628","Amphibia","Anura","Leptodactylidae","Chaltenobatrachus_grandisonae","Telmatobius grandisonae (Lynch, 1975)","Paratype","Chile","Plateau below south peak, Puerto Eden, Wellington Island",3.82,25,"2.2","Centroid taken from Puerto Eden, South Peak is not described anywhere in searches, so taking a best guess that south peak is the peak to the SW of the visible habitation that is likely to be puerto eden hamlet. There is a reasonable amount of flat ground that could be described as a plateau around this peak. Extent was measured from the centroid provided by google maps to the furthest habitation present in puerto eden (likely to be the edge of the hamlet), this radius comfortable covers any area of plateau below the mountain peak which is probably south peak. Low certainty as there are many mountain peaks with no names provided, so south peak could be further to the south still. ",c(-74.452947, -49.138973)
"91",35731,3633734,"1962.628","Amphibia","Anura","Leptodactylidae","Chaltenobatrachus_grandisonae","Atelognathus grandisonae (Lynch, 1975)","paratype","Chile","Plateau below south peak, Puerto Eden, Wellington Island",3.82,25,"2.2","Centroid taken from Puerto Eden, South Peak is not described anywhere in searches, so taking a best guess that south peak is the peak to the SW of the visible habitation that is likely to be puerto eden hamlet. There is a reasonable amount of flat ground that could be described as a plateau around this peak. Extent was measured from the centroid provided by google maps to the furthest habitation present in puerto eden (likely to be the edge of the hamlet), this radius comfortable covers any area of plateau below the mountain peak which is probably south peak. Low certainty as there are many mountain peaks with no names provided, so south peak could be further to the south still. ",c(-74.452947, -49.138973)
"92",46480,1947015,"1845.5.25.59","Amphibia","Anura","Leptodactylidae","Batrachyla_leptopus","Batrachyla leptopus Bell, 1843","Type","Chile","Valdivia",30.12,100,"2.2","Both a town and a municipality, as such municipality is used being the larger area and encompassing the town. Centroid found by googling locality description followed by ‘Chile’, google standard (pin drop what’s here on name of place). Extent measured from there to furtherst point on google maps supplied area polygon. High certainty as this covers both the town and the muncipality, overestimating in places. ",c(-73.242479, -39.81839)
"93",46497,1949413,"1845.5.25.45","Amphibia","Anura","Leptodactylidae","Pleurodema_bibroni","Pleurodema bibroni Tschudi, 1838","Type","Chile","Chiloe",96.72,75,"2.4","Island off the coast of Chile, found by google maps searching locality description followed by 'Chile'. Google maps area polygons suggest that some smaller islands nearby are also part of this locality. However only one of these falls outside of the extent found by measuring the island that bears the name 'Chiloe' (centroid from 'whats here' placed on island name (i.e. google default centroid), extent measured from there to furtherst point of the polygon of the name bearing island). Due to the remotness of the only outside island I have excluded it as an unlikely collection locality. Certainty lowered due to island outside of polygon. ",c(-73.93713, -42.609558)
"94",46471,1948181,"1845.5.25.32","Amphibia","Anura","Leptodactylidae","Hylorina_sylvatica","Hylorina silvatica","Type","Chile","Chiloe",96.72,75,"2.4","Island off the coast of Chile, found by google maps searching locality description followed by 'Chile'. Google maps area polygons suggest that some smaller islands nearby are also part of this locality. However only one of these falls outside of the extent found by measuring the island that bears the name 'Chiloe' (centroid from 'whats here' placed on island name (i.e. google default centroid), extent measured from there to furtherst point of the polygon of the name bearing island). Due to the remotness of the only outside island I have excluded it as an unlikely collection locality. Certainty lowered due to island outside of polygon. ",c(-73.93713, -42.609558)
"95",46222,1950532,"1879.8.20.49-56., 55","Amphibia","Anura","Leptodactylidae","Batrachyla_leptopus","Batrachyla leptopus Bell, 1843","Types","Chile","Puerto Bueno, Magellan Str.",0.88,75,"2.7","Locality description googled to get centroid (standard google maps, from whats here pin drop). Extent measured to furthest point of the bay (Puerto Bueno is a natural harbour), including the seaward edges of the bay entrance. Certainty reduced as range (based on https://amphibiaweb.org/cgi/amphib_query?where-genus=Batrachyla&where-species=leptopus berkelymapper) does not line up with locality. ",c(-74.214505, -50.992412)
"96",44362,3633464,"1947.2.16.96","Amphibia","Anura","Ranidae","Batrachyla_leptopus","Batrachyla leptopus Bell, 1843","holotype","Chile","Valdivia",30.12,100,"2.2","Both a town and a municipality, as such municipality is used being the larger area and encompassing the town. Centroid found by googling locality description followed by ‘Chile’, google standard (pin drop what’s here on name of place). Extent measured from there to furtherst point on google maps supplied area polygon. High certainty as this covers both the town and the muncipality, overestimating in places. ",c(-73.242479, -39.81839)
"97",5959,1834404,"1868.3.4.9","Amphibia","Anura","Bufonidae","Rhaebo_glaberrimus","Bufo glaberrimus","Holotype","Colombia","Bogot�",27.7,75,"2.3","Capital city of Colombia. Found by googling locality description followed by �Colombia�, centroid used is google default (whats here pin placed on name). Extent measured to furthest point of the google provided area polygon. Some uncertainty as special characters do not show in libre office (assuming the Bogota has an accent over the a).",c(-74.069782, 4.705038)
"98",14861,3340655,"1916.2.22.1-2","Amphibia","Anura","Bufonidae","Atelopus_carrikeri","Atelopus carrikeri Ruthven, 1916","paratypes","Colombia","Santa Marta Mts., Colombia",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"99",3968,1947904,"1916.4.4.6","Amphibia","Anura","Leptodactylidae","Pristimantis_sanctaemartae","Eleutherodactylus sanctae-martae","Cotype","Colombia","Sta. Marta Mts",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"100",24637,1947903,"1916.4.4.4","Amphibia","Anura","Leptodactylidae","Pristimantis_sanctaemartae","Eleutherodactylus sanctae-martae","Cotype","Colombia","San Lorenzo, S. Marta Mts, 6500ft",5.12,25,"2.6","Copied from Naomi. Cuchilla San Lorenzo, Sierra Nevada de Santa Marta. Used Google Maps terrain feature to measure furthest distance from centroid out to 1980m (6500ft).",c(-73.604585, 10.923912)
"101",9678,1947828,"1947.2.15.83-84","Amphibia","Anura","Leptodactylidae","Craugastor_raniformis","Eleutherodactylus raniformis","Cotypes","Colombia","Cali",18.78,100,"2.3","City, centroid found by googling 'Cali, colombia'. Extent was measured using centroid and extent polygon provided by google earth. High certainty as no naming conflicts.",c(-76.532552, 3.450863)
"102",30227,1947827,"1947.2.16.16-19","Amphibia","Anura","Leptodactylidae","Craugastor_raniformis","Eleutherodactylus raniformis","Cotypes","Colombia","Buenaventura",6.83,100,"2.3","Centroid taken from google standard (google maps search Buenaventura, colombia, pin drop from whats here placed on name), extent measured to the furthest point on the google maps area polygon. High certainty as no naming conflicts and extent will overestimate in several directions. ",c(-77.020446, 3.88292)
"103",21931,3633334,"1947.2.15.68","Amphibia","Anura","Leptodactylidae","Strabomantis_bufoniformis","Eleutherodactylus bufoniformis (Boulenger,  1896)","holotype","Colombia","Buenaventura",6.83,100,"2.3","Centroid taken from google standard (google maps search Buenaventura, colombia, pin drop from whats here placed on name), extent measured to the furthest point on the google maps area polygon. High certainty as no naming conflicts and extent will overestimate in several directions. ",c(-77.020446, 3.88292)
"104",11536,1983854,"1929.11.12.4","Amphibia","Anura","Leptodactylidae","Engystomops_pustulosus","Physalaemus pustulosus ruthveni Nutting, 1930","Paratype","Colombia","Santa Marta",7.86,100,"2.3","City in northern colombia. Found by googling locality description followed by 'colombia'. Centroid taken from google standard (whats here pin drop on name of place). Extent measured from there to furthest edge of google maps polygon. High certainty as no naming conflicts. ",c(-74.21201, 11.240112)
"105",36166,3632778,"1929.11.12.4","Amphibia","Anura","Leptodactylidae","Engystomops_pustulosus","Physalaemus pustulosus ruthveni Nutting, 1930","paratype","Colombia","Santa Marta",7.86,100,"2.3","City in northern colombia. Found by googling locality description followed by 'colombia'. Centroid taken from google standard (whats here pin drop on name of place). Extent measured from there to furthest edge of google maps polygon. High certainty as no naming conflicts. ",c(-74.21201, 11.240112)
"106",43365,3633306,"1947.2.15.37","Amphibia","Anura","Leptodactylidae","Geobatrachus_walkeri","Geobatrachus walkeri (Ruthven, 1915)","paratype","Colombia","Santa Marta Mountains | Santa Marta Mountains, N. Colombia",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"107",43366,3633304,"1947.2.15.36","Amphibia","Anura","Leptodactylidae","Geobatrachus_walkeri","Geobatrachus walkeri (Ruthven, 1915)","paratype","Colombia","Santa Marta Mountains | Santa Marta Mountains, N. Colombia",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"108",77194,1947528,"1916.4.4.5","Amphibia","Anura","Leptodactylidae","Pristimantis_delicatus","Eleutherodactylus delicatus","Paratype","Colombia","S. Lorenzo Mt., Sta. Marta Mts, 5000ft",5.84,25,"2.6","Copied from Naomi (and rechecked) Ft to m done on https://www.metric-conversions.org/length/feet-to-meters.htm 5000ft = 1524m, altitude extent checked on google earth for chrome browser, measured from google centroid to furthest point where altitude requirement was met. Mountain extent (and coords) update from Naomi data, found from google maps search, default centroid used, uncertainty due to difficulties in determining mountain extent (measured to furthest point on plateaus between other named mountains). Cuchilla San Lorenzo, Sierra Nevada de Santa Marta. Used Google Maps terrain feature to measure furthest distance from centroid out to 1500m (5000ft).",c(-74.033869, 11.114227)
"109",43359,3633460,"1947.2.16.93","Amphibia","Anura","Leptodactylidae","Pristimantis_sanctaemartae","Eleutherodactylus sanctaemartae (Ruthven,  1917)","syntype","Colombia","San Lorenzo, Santa Marta Mountains",8.02,25,"2.6","Copied from Naomi (and rechecked) Ft to m done on https://www.metric-conversions.org/length/feet-to-meters.htm 5000ft = 1524m, altitude extent checked on google earth for chrome browser, measured from google centroid to furthest point where altitude requirement was met. Mountain extent (and coords) update from Naomi data, found from google maps search, default centroid used, uncertainty due to difficulties in determining mountain extent (measured to furthest point on plateaus between other named mountains). Cuchilla San Lorenzo, Sierra Nevada de Santa Marta. Used Google Maps terrain feature to measure furthest distance from centroid out to 1500m (5000ft).",c(-74.033869, 11.114227)
"110",43362,3633468,"1947.2.16.98","Amphibia","Anura","Leptodactylidae","Pristimantis_sanctaemartae","Eleutherodactylus sanctaemartae (Ruthven,  1917)","syntype","Colombia","Santa Marta Mountains",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"111",42925,3633452,"1947.2.16.86-87","Amphibia","Anura","Leptodactylidae","Pristimantis_palmeri","Eleutherodactylus palmeri (Boulenger, 1912)","syntypes","Colombia","Pueblo Rico | Pueblo Rico, Choco, S.W. Colombia",26.35,25,"2.2","Copied from Naomi. Pueblo Rico, Risaralda. Extent furthest point from centroid within Pueblo Rico in Risaralda district, as defined by Google Maps boundaries. I gave 25% certainty as borders have likely changed, and as there was no Pueblo Rico located in the South West of the country this appeared to be the most likely habitat.",c(-76.032841, 5.223111)
"112",3530,1947426,"1947.2.15.68","Amphibia","Anura","Leptodactylidae","Strabomantis_bufoniformis","Eleutherodactylus bufoniformis (Boulenger,  1896)","Type","Colombia","Buenaventura",6.83,100,"2.3","Centroid taken from google standard (google maps search Buenaventura, colombia, pin drop from whats here placed on name), extent measured to the furthest point on the google maps area polygon. High certainty as no naming conflicts and extent will overestimate in several directions. ",c(-77.020446, 3.88292)
"113",11198,1947545,"1895.11.16.55","Amphibia","Anura","Leptodactylidae","Pristimantis_erythropleura","Eleutherodactylus erythropleura (Boulenger,  1896)","Type","Colombia","Cali, 3200ft",18.78,100,"2.3","City, centroid found by googling 'Cali, colombia'. Altitude was converted using https://www.metric-conversions.org/length/feet-to-meters.htm (3200ft = 975.36m). Extent was measured using altitude and extent polygon provided by google earth. Altitude was discarded as it did not make referencing any more precise than using the extent polygon's furthest point (North, East and South Cali all had heights of ~975m) only Eastern Cali could be excluded, however, furthest extent to satify both altitude and polygon gave a radius that comfotably includes West Cali. High certainty as no naming conflicts and high overestimation of extent. ",c(-76.532552, 3.450863)
"114",77187,1948083,"1947.2.15.36","Amphibia","Anura","Leptodactylidae","Geobatrachus_walkeri","Geobatrachus walkeri (Ruthven, 1915)","Type","Colombia","Santa Marta Mts, N. Colombia",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"115",77188,1948085,"1947.2.15.37","Amphibia","Anura","Leptodactylidae","Geobatrachus_walkeri","Geobatrachus walkeri (Ruthven, 1915)","Type","Colombia","Santa Marta Mts, N. Colombia",126.83,100,"2.6","Mountain range close to Santa Marta, Northern Colombia. Centroid taken from google maps default (pin drop whats here on place name). Extent measured from there to the end of the range. End of range determined to be where there is a break in continuous montains and/or the terrain flattens. This particular range has main highways surrounding it on all sides, by and large these nicely demark the end of the range/mountainous areas (Highways 45, 49, 80, 88, 90 provide reasonable boundaries, however between highways 90 and 49 there is a lack of mountains, equally the range extends between 49 and 88 to Calabacito). High certainty as extent is furthest in the NEE direction, causing overcompensation in the other directions. Also no naming conflicts found. ",c(-73.700407, 10.833398)
"116",29559,3347171,"1976.1378","Amphibia","Anura","Microhylidae","Otophryne_pyburni","Otophryne pyburni Campbell and Clarke, 1998","paratype","Colombia","Wacara, Vaupes, Colombia",255.62,25,"2.2","Copied from Naomi. Vaup�s. Extent furthest point from centroid within Vaup�s department (Amazonas Region), as defined by Google Maps boundaries. Gave 25% certainty score as boundaries for this location as Wacara could not be located within Vaupes.",c(-70.74346, 0.710146)
"117",34544,3344127,"1947.2.31.25","Amphibia","Anura","Microhylidae","Elachistocleis_ovalis","Elachistocleis ovalis (Schneider,1799)","paratype","Colombia","Fundacion, Colombia",2.22,25,"2.2","Copied from Naomi. Fundaci�n, Magdalena. Extent furthest point from centroid within Magdalena district, as defined by Google Maps boundaries. Gave 25% certainty score as boundaries for this location has likely shifted greatly.",c(-74.186748, 10.52144)
